product_id, brand, desc, size, original_price, new_price, price_change
1736151,Acronym,J1B-S SIZE:M,m,$1349,-,
601176,Acronym,Cashmere Goretex Jacket,l,$450,-,
2621718,Acronym  Nike, x NikeLab Air Presto Mid 'Volt',11.5,$650,$585,10.0%
1342836,Acronym,P16A-s,30,$850,$557,34.47%
4428981,Acronym  Fragment Design,2001 Archival Convert Jacket,l,$9800,$4410,55.0%
4191323,Acronym  Nike,Nike x  Air Force 1 Low White,10.5,$450,-,
4021780,Acronym, x Nike AF1 White/White,11,$260,-,
5726609,Acronym  Nike,Nike  Lunar Air Force 1’s,10,$320,-,
4384605,Acronym  Nike,Lunar Force 1 SP ,10,$420,-,
2084529,Acronym, J47A-GT - XL,xl,$2500,-,
2084952,Acronym, E-J1A - XL,xl,$1250,-,
4555820,Acronym,Nike x  Lunar Force 1 White,10.5,$270,-,
1939706,Acronym,3A-3TS,os,$1093,$983,10.06%
5418313,Acronym  Nike  Nike ACG,Lunar Force 1 /  17' AF100,7.5,$750,-,
4737175,Acronym  Nike, Prestos,8.5,$600,-,
1978976,Acronym,3A-3TS,os,$1500,-,
7161182,Acronym,J47A-GT,s,$2300,$1676,27.13%
749819,Acronym,J55-MP Size Medium Color Black,m,$800,$650,18.75%
6463806,Acronym  Nike  Nike ACG, MULTICOLOUR LUNAR FORCE 1,10.5,$385,$346,10.13%
4405619,Acronym, - S-J4TS - Raf - XL,xl,$1000,-,
4235230,Acronym  Nike,Lunar Force 1,8.5,$350,-,
5471720,Acronym, x Nike Presto Olive,9,$800,-,
3990169,Acronym  Nike, X Nike Lunar Force 1 (AF100),10,$350,-,
6312530,Acronym,3A-3TS,os,$995,-,
4055814,Acronym  Nike,Nike / ,10,$2500,-,
6395497,Acronym,P20-S,30,$1500,$490,67.33%
6544597,Acronym, X Nike Air Presto,10,$630,-,
945131,Acronym,GT-J9TS GORE-TEX XCR TEC SYS JACKET,m,$2000,-,
5786238,Acronym, J16 3xDry Schoeller Soft Shell,s,$780,$702,10.0%
7698109,Acronym,RAF P5TS-S Custom Paratrooper Straps,33,$666,-,
7361916,Acronym  Nike,Lunar Force 1 Low AF100,8.5,$399,$359,10.03%
6809977,Acronym, 3A-1,os,$1400,-,
