product_id, brand, desc, size, original_price, new_price, price_change
3976955,Balenciaga, BAZAR SHOPPER XL Multi Colored $2,550,os,$3000,$1915,36.17%
7006739,Balenciaga, Swing Puffer Jacket $3,250,s,$2700,$2430,10.0%
3470225,Balenciaga, hat,os,$250,-,
3934527,Balenciaga,Speed Trainer,9.5,$500,-,
617313,Balenciaga,White arena,9,$320,$288,10.0%
3716200,Balenciaga, Speed Trainer,9,$590,-,
7736574,Balenciaga, Navy Blue Campaign Hoodie,l,$450,-,
1296459,Balenciaga,FW10 Typography Graphic Tee,m,$150,$87,42.0%
5221980,Balenciaga,Wool repeat logo,os,$240,$194,19.17%
859805,Balenciaga, bombardier shearling leather jacket size 38,s,$3564,$2886,19.02%
7061490,Balenciaga, Bernie SS17,m,$260,-,
5783418,Balenciaga,Black 'Mode' Logo T-Shirt,s,$330,$288,12.73%
3882222,Balenciaga,Logo hoodie,s,$578,-,
3577529,Balenciaga,Swing Parka,m,$3100,$2550,17.74%
7086831,Balenciaga, Sinners Tee,xl,$250,-,
8071474,Balenciaga, hoodie BB,m,$550,-,
7678939,Balenciaga,NYC Airbrush Hoodie,l,$650,-,
4228949,Balenciaga,Red Stripe Denim,30,$550,-,
7916593,Balenciaga,"All-Over" Sweater,l,$500,$450,10.0%
4113941,Balenciaga,Homme-embroidered bleached cotton sweatshirt,s,$2000,-,
7594268,Balenciaga, CREWNECK LOGO PRINTED SWEATSHIRT,s,$220,-,
3716811,Balenciaga,F/w 17 Sinner Tee black,xl,$686,-,
568199,Balenciaga, RUNNERS FIRST EVER DROP,12,$500,$264,47.2%
7925863,Balenciaga, SpeedHunters Logo Tee,l,$399,-,
5204914,Balenciaga, Sock Trainers,11,$680,$444,34.71%
2901356,Balenciaga,2017 Political Hoodie,xl,$600,-,
3832691,Balenciaga, Oversize Intarsia Turtleneck,l,$1134,$918,19.05%
3304352,Balenciaga,Triple S,11,$1750,$1147,34.46%
353975,Balenciaga,Join A Weird Trip Crewneck,l,$460,$334,27.39%
7113720,Balenciaga,FINAL PRICE DROP. Oversized Ego Yellow T-shirt,l,$153,-,
4426213,Balenciaga, Speed Trainer Triple Black,10,$610,$595,2.46%
8146126,Balenciaga, Swing Denim Jacket,l,$1150,-,
887726,Balenciaga,SS09 "Los Angeles" T-shirt,xs,$140,$81,42.14%
2960287,Balenciaga,Authentic  Arenas,11,$299,$217,27.42%
8468739,Balenciaga, Paris Souvenir T Shirt,m,$200,-,
2446162,Balenciaga, Sock Runner,10,$750,-,
4057716,Balenciaga,Political,l,$450,-,
7598304,Balenciaga, Campaign Shirt,s,$275,-,
3869850,Balenciaga, Mug,os,$198,-,
5346263,Balenciaga, Homme Bleached Sweater,l,$900,$810,10.0%
2447734,Balenciaga  Levis  Vetements,BRAND NEW LEVI'S COLLABORATION EXTRA LONG CALFSKIN LEATHER BELT,os,$990,-,
7536342,Balenciaga,AW16 Runway Oversized Swing Shell/Ski Parka,s,$2650,$2146,19.02%
2916650,Balenciaga, 2017 F/W Speed Trainer,9.5,$800,$700,12.5%
7037974,Balenciaga,Double Wrap Studded Leather Arena Bracelet,os,$160,-,
5776644,Balenciaga, Colette Bic lighter (Black),os,$65,-,
6399381,Balenciaga,Sinners Hoodie,m,$545,$490,10.09%
3035961,Balenciaga,OVERSIZE,l,$350,-,
5024447,Balenciaga, Logo Hoodie,s,$650,$550,15.38%
3942827,Balenciaga, Sinners Sweatshirt,m,$610,$549,10.0%
3238958,Balenciaga, Logo Tee,m,$315,-,
3585991,Balenciaga, Nicolas Ghesquiere T Shirt,xl,$200,$145,27.5%
5669213,Balenciaga,First Edition Black Denim Swing Jacket (M),m,$950,$855,10.0%
5735702,Balenciaga,Logo Cap,os,$200,-,
4210944,Balenciaga,Denim Jacket,l,$400,-,
