product_id, brand, desc, size, original_price, new_price, price_change
3288925,CP Company,Original C.P. Company Removable Google Hoodie Sand Men Down Jacket in size 56,xl,$479,$431,10.02%
5072091,CP Company,Beanie,os,$160,-,
2468710,CP Company,cp company limited edition goggle jacket dead stock,l,$200,-,
2468733,CP Company,cp company goggle jacket white limited edition,l,$200,-,
8174645,CP Company,C.P. Company Balaclava,os,$160,$129,19.37%
4841564,CP Company,C.P. Company Mille Miglia Goose Down Jacket S or XS Size Navy Blue Italy YKK Rare Luxury Winter Warm Unisex Goggle Jacket Bomber Puffa Casuals Japan,s,$400,$360,10.0%
5967599,CP Company  Stone Island,facemask quilted winter parka,m,$599,$539,10.02%
1881445,CP Company,DIAGONAL FLEECE GOGGLE ZIP HOODIE,m,$175,$153,12.57%
1903772,CP Company  Stone Island,hidden hood track jacket,m,$199,$116,41.71%
7623703,CP Company,Goggle Beanie,os,$125,$100,20.0%
4016403,CP Company  Stone Island,quilted facemask parka,m,$599,$436,27.21%
7880811,CP Company,Jacket C.P Company,l,$120,$97,19.17%
3669175,CP Company  Massimo Osti,〜EARLY 1990s GOGLE JACKET,m,$1200,$1080,10.0%
1480320,CP Company,BNWT Goggle Hoodie,s,$270,$243,10.0%
7641174,CP Company,Google Hat 100% Cotton,os,$100,-,
7477316,CP Company,CP Company Multipocket goggle jacket,m,$300,$218,27.33%
3506522,CP Company,Vintage Cp Company Goggle Jacket,l,$262,$211,19.47%
3825436,CP Company  Stone Island,last drop reversible down jacket,l,$399,$137,65.66%
7510631,CP Company,New Cp company 05CMAC158A003321A wool 888 navy,os,$80,-,
6985086,CP Company,C.P Company Goggle Jacket,s,$200,-,
7136867,CP Company,Large Lana-Wool Sweater Hoodie,l,$150,$87,42.0%
3817010,CP Company,Light Windbreaker With Goggle Hood,s,$100,-,
3396287,CP Company,garment dyed warm goggle jacket,s,$350,$315,10.0%
1988117,CP Company,Mille Miglia Goggle Watchvieuwer Jacket,l,$372,-,
35395,CP Company,Sportswear SPA Jacket,m,$80,$72,10.0%
8274941,CP Company,C.P Company Black Multipockets Goggle Jacket,m,$800,$720,10.0%
1756124,CP Company,C.P. Company Long Sleeve,m,$90,$72,20.0%
7542438,CP Company,Cp Company Tactical Vest ( Gogles ) Last Price drop,m,$123,$89,27.64%
6948072,CP Company,STEAL: BNWT Goggle Jacket MSRP:810,m,$449,$404,10.02%
4594219,CP Company  Stone Island,wool beanie,os,$99,-,
138922,CP Company,Multi pocket jacket,m,$750,-,
2682186,CP Company,Rare C.P. Company pants by Massimo Osti,32,$300,$243,19.0%
4000963,CP Company,C.P Company black garment micro down goggle jacket,l,$395,$319,19.24%
2238404,CP Company  Stone Island,last drop camo field parka,s,$399,$137,65.66%
4631420,CP Company,Cp company Fili Field Goggle Jacket,m,$450,-,
7595022,CP Company  Stone Island,stone island jacket,l,$350,$315,10.0%
5990357,CP Company,CP COMPANY SUPER RARE DESIGN CARGO PANTS MADE IN RUMANIA,31,$129,$66,48.84%
1858066,CP Company,last drop frosted dyed nylon parka,s,$399,$153,61.65%
7091635,CP Company,New Cp company 05CMAC158A003321A wool 976,os,$80,-,
4859106,CP Company,GOGGLE BEANIE XXX,os,$110,-,
7092383,CP Company,New Cp company 05CMAC158A003321A wool 590,os,$80,$72,10.0%
7093987,Bmw  CP Company,C.P.Company Korea,m,$165,$77,53.33%
5174933,CP Company,rare brown metallic shimmer nylon multipocket field parka,l,$550,$445,19.09%
3366009,CP Company,VINTAGE CP. COMPANY jacket superb condition Rare not versace fendi stone island supreme gucci chanel undercover,m,$50,-,
7000831,CP Company  Vintage,Vintage Mens C.P COMPANY Multipocket Wool Coat Jacket,xl,$150,$78,48.0%
2806474,CP Company,CP Company Mille Miglia Google jacket,m,$430,$387,10.0%
205013,CP Company,Fisher Men Jacket Giubbino,m,$1110,$999,10.0%
7595986,CP Company,Cp company Miglia Goggle Soft shell,m,$270,$196,27.41%
878488,CP Company,Mille Miglia Dynafil Goggle Jacket,m,$380,-,
