product_id, brand, desc, size, original_price, new_price, price_change
1326309,Common Projects,Original Achilles Low White 1528,12,$300,-,
1666871,Common Projects,Original Achilles Low White 1528,12,$300,-,
5867872,Common Projects,Cardholder,os,$159,$128,19.5%
4911615,Common Projects, Achilles Low,8,$310,$279,10.0%
401382,Common Projects,Chelsea in Leather,10,$630,-,
3310016,Common Projects, Achilles Low White,9,$380,-,
547676,Common Projects,Original achilles lowtop,12,$380,-,
1123381,Common Projects,Achilles Mid White,8,$250,$225,10.0%
2466625,Common Projects, Achilles Three Strap White,9,$400,$184,54.0%
3189593,Common Projects, Original Achilles Low,7,$200,$150,25.0%
4278971,Common Projects,Achilles Low White Leather,10,$325,$262,19.38%
4935511,Common Projects,Achilles Low White,9,$230,-,
548966,Common Projects,Safari Boot,8,$93,-,
5268985,Common Projects,white leather slip ons,10,$355,$319,10.14%
4959433,Common Projects,Combat boots,11,$500,$450,10.0%
627915,Common Projects,Combat Boots Grey Suede,9.5,$550,$400,27.27%
3603404,Common Projects, Achilles Strap Low All White Leather,9.5,$239,-,
3752,Common Projects,Tournament Waxed Canvas Black,10.5,$275,-,
1372024,Common Projects,Chelsea Boot,9.5,$400,-,
3512833,Common Projects,BNIB Original Achilles Low Black Sz 41,8,$350,-,
3949210,Common Projects, Derby Shine,8,$364,-,
3408448,Common Projects,Achilles Low Navy,12,$150,$135,10.0%
331569,Common Projects,Grey Original Achilles Mids,11,$300,-,
5686155,Common Projects, Tan Suede Chelsea Boot,10,$350,$283,19.14%
610189,Common Projects, Chelsea tan,10,$530,-,
2589041,Common Projects,CROSS GRAIN LEATHER SIMPLE BACKPACK brown,os,$683,-,
7242453,Common Projects,FW10 Combat Boots,9,$350,-,
914856,Common Projects,Shine derby shoes,8,$650,$585,10.0%
310164,Common Projects,Achilles Vintage Low Navy,6,$250,$225,10.0%
3381108,Common Projects,Achilles  Natural,9,$350,-,
6079457,Common Projects,Achilles High Grey,11,$200,$180,10.0%
2780455,Common Projects, Blackwhite Cap Toe SS15,10.5,$375,$219,41.6%
3428331,Common Projects,Chelsea Boots  Blush Suede,9,$550,$445,19.09%
5161849,Common Projects,Common Project Achilles Mid  White Leather,10,$80,-,
