product_id, brand, desc, size, original_price, new_price, price_change
3637389,Nike  OffWhite,Off white x  logo Tee,m,$120,-,
2306464,Nike,Cdg Dunk,10,$375,-,
224495,Nike  Supreme,Supreme x  SB Blazer 2005,10.5,$550,-,
4468088,Nike,2017  Air max 97 silver bullet,10.5,$150,-,
3774299,Nike  OffWhite,OffWhite x  Blazer Mid,11,$750,-,
5257469,Nike  Undercover,Flask Belt Bag waistbag  shoulder bag,os,$379,$247,34.83%
684684,Nike,1999 Wu tang dunks,7.5,$26000,$18954,27.1%
3857228,Nike  OffWhite,OFF WHITE X  AIR FORCE 1 IN HAND PACKAGEDLIMITED new rare,9,$530,-,
3323614,Nike  Supreme,Blazer Low,10.5,$150,$63,58.0%
2382202,Comme des Garcons  Nike,CDG Dunk High,8,$330,-,
1296536,Jordan Brand  Nike,Jordan 1 Black Toe,12,$220,$198,10.0%
493514,Nike,Air max 95 neon,9.5,$80,$57,28.75%
2297402,Nike  Vlone,Air Force 1 Friends And Family,10.5,$6000,-,
1274690,Nike  Supreme, Air Max 98 X Supreme,10,$250,-,
1879385,Nike, Air Mags,11,$75000,$67500,10.0%
4389955,Nike  OffWhite,Off Campus Hoodie,s,$198,-,
6617278,Nike  Supreme,Supreme  Trail Running Jacket,m,$260,-,
276710,Nike  Supreme,Supreme  GTS,10,$350,-,
8465220,Nike  Vintage,Vintage  x Travis Scott mini swoosh hoodie,xl,$110,$99,10.0%
3382974,Nike  OffWhite, offwhite logo tee,m,$110,-,
3866270,Nike  Vlone, Air Force 1 x Vlone,11,$950,-,
369218,Nike, supreme sb,9,$300,$270,10.0%
651837,Nike  Supreme,Supreme Air Max 98 black,9.5,$250,-,
3412359,Nike  Vlone,Vlone X  Lab AF1,11,$1750,$990,43.43%
8101057,Nike  Vintage,Vintage  Hoodie Travis Scott,l,$135,$97,28.15%
2839860,Comme des Garcons  Nike,CDG  DUNK,11,$450,-,
6250399,Jordan Brand  Nike,Jordan 4 Travis Scott Cactus Jack 95,9.5,$320,-,
6249687,Nike  Travis Scott,Travis Scott Air Force 1 Sail,8.5,$390,-,
5665582,Nike  OffWhite, x Off White The Ten Blazer Mid,13,$599,-,
4086487,Nike  OffWhite,Off White Prestos,9,$1200,-,
5998714,Nike,Sean Wotherspoon Air Max 197,10,$550,$445,19.09%
6077692,Jordan Brand  Nike,AIR JORDAN 1 RETRO HIGH OG bluewhite,9.5,$200,$180,10.0%
4979328,Nike  OffWhite,OffWhite x  Air Force 1 Low Complex Con signed and customized by Virgil Abloh,13,$8000,$7200,10.0%
3996078,Nike  OffWhite,The 10 Zoom Fly,10.5,$500,-,
3785724,Nike  OffWhite, X Off White Blazers,13,$700,$630,10.0%
3960858,Nike  OffWhite,Off White  Shoelaces,os,$100,$60,40.0%
1662835,Comme Des Garcons Homme Plus  Nike,CDG Dunk Hi Retro Clear DS,11,$800,-,
3945651,Nike  OffWhite, Air Max 97 X OFF WHITE US10,10,$590,-,
1039652,Nike  Supreme,Supreme x  Air Max 98,9.5,$283,-,
2760361,Nike  Vlone,Vlone x  Air Force 1 High,9.5,$5000,$4500,10.0%
3784732,Nike  OffWhite,Off White x  Air Presto,11,$1200,$1100,8.33%
1757528,Nike  Riccardo Tisci,Air Force One SP Tisci,10,$425,$382,10.12%
2621718,Acronym  Nike,ACRONYM x Lab Air Presto Mid Volt,11.5,$650,$585,10.0%
3972066,Nike  Travis Scott,Travis Scott Air Force 100 US9 UK8,7,$400,-,
4829144,Nike  OffWhite,Off White  Zoom Fly The Ten,8,$650,$585,10.0%
2641963,APC  Nike, x APC Dunk High,10,$160,$93,41.87%
2084627,Comme des Garcons  Nike, X CDG blazers og release,10.5,$218,$196,10.09%
1337489,Nike  Supreme,Supreme x  Air Max 98 Snakeskin,10.5,$360,-,
2659059,Nike  Stussy, Dunk Low Pro SB,9,$380,-,
