product_id, brand, desc, size, original_price, new_price
3263985,Chrome Hearts, Beanie,os,$150,-
3829459,Chrome Hearts,Fuck You Ring,os,$375,$337
465852,Chrome Hearts,22K KT With 5 Stones,os,$25000,$22500
5576490,Chrome Hearts  Rick Owens, X RICK OWENS MILK BLACK DUNKS,9,$5500,-
1463358,Chrome Hearts,Black Hat,os,$150,$135
4280406,Chrome Hearts,"Specialrare" 11lbs Roller Belt CH,32,$4000,-
3663700,Chrome Hearts,Large CH Cross with Vail Pendant Necklace Top - Silver,os,$500,$450
5602358,Chrome Hearts,Adjustable Skull Army Ring Size 8,os,$450,-
6820048,Chrome Hearts,Baby Floral Cross Ring Size 10.5,os,$250,$202
3105035,Chrome Hearts,Genuine  Big Cross Graphic Sleeves T shirt Pocket Long Sleeve Black Color Sz L,l,$250,$202
4646773,Chrome Hearts,last drop - Mabani Belgian artist silver bracelet,os,$153,$123
3500720,Chrome Hearts, Pendant RARE,os,$5000,$3280
1715153,Chrome Hearts, Nail Ring,26,$600,$300
4284989,Chrome Hearts,Cutout CH Cross Bracelet,os,$2000,$795
1767063,Chrome Hearts, Single Ring Bracelet,os,$550,-
5548842,Chrome Hearts  Rick Owens, x Rick Owens Black & White Cargobaskets,9,$2300,$2070
7251820,Chrome Hearts  Rolex, Rolex (with receipts),36,$12000,-
3720926,Chrome Hearts,Rings Size 6,os,$250,-
2133844,Chrome Hearts, CROSS PENDANT NECKLACE,34,$181,-
4879540,Chrome Hearts,Logo  Sweater Hoodie,m,$330,-
6820070,Chrome Hearts,True Fucking Punk Ring Size 4.5,os,$230,-
6383640,Chrome Hearts,Cross Earring,os,$450,$300
3789938,Chrome Hearts, Diamonds Stud Ring Size 8,os,$1200,-
1950610,Chrome Hearts  OffWhite,Off White X  New York Exclusive tee,m,$850,$619
6816763,Chrome Hearts,Geometric / Flat Top Ring,os,$145,-
6207955,Chrome Hearts,ON HOLD Scroll Band Size 3.5,os,$160,-
3809102,Chrome Hearts,Forever Ring,os,$448,-
6941221,Chrome Hearts,FINAL DROP Bubble gum ring cemetery cross size 9,os,$300,$218
5660850,Chrome Hearts,Ring,os,$440,$288
6843268,Chrome Hearts,Earring,os,$450,$405
5097396,Chrome Hearts  Rick Owens,🔥🔥  RAMONES 🔥🔥,8,$6500,-
5694907,Chrome Hearts,Extremely Rare CH Ax,os,$7500,$6750
6844068,Chrome Hearts,Spacer Ring 7.5,os,$500,$237
4231206,Chrome Hearts,Three Crosses Pendant,os,$600,$540
7113228,Chrome Hearts,[RARE!]  Silver Band Ring,os,$365,-
7893496,Chrome Hearts,Diamond White Gold Iron Cross Chain Ring,os,$649,-
1877040,Chrome Hearts, Belt,30,$1500,$1350
7301288,Chrome Hearts  Rick Owens,Rick Owens X  Shearling Front Zip Mohawk Military Boots,9,$2650,-
3869259,Chrome Hearts, Dagger Zip Up Hoodie,l,$550,$210
7103153,Chrome Hearts,2004 Cross Baby Fat Pendant & Chain Necklace,os,$1200,-
5956836,Chrome Hearts,Cross T-Shirt,l,$130,-
5427015,Chrome Hearts,Fuck You Ring,os,$300,-
591978,Chrome Hearts, dog Tag,os,$275,-
1463392,Chrome Hearts,Black Tee,l,$200,-
