product_id, brand, size, original_price, new_price
3263985,Chrome Hearts,os,$150,-
3829459,Chrome Hearts,os,$375,$337
465852,Chrome Hearts,os,$25000,$22500
5576490,Chrome Hearts  Rick Owens,9,$5500,-
1463358,Chrome Hearts,os,$150,$135
4280406,Chrome Hearts,32,$4000,-
3663700,Chrome Hearts,os,$500,$450
5602358,Chrome Hearts,os,$450,-
6820048,Chrome Hearts,os,$250,$202
3105035,Chrome Hearts,l,$250,$202
4646773,Chrome Hearts,os,$153,$123
3500720,Chrome Hearts,os,$5000,$3280
4284989,Chrome Hearts,os,$2000,$795
1715153,Chrome Hearts,26,$600,$300
1767063,Chrome Hearts,os,$550,-
5548842,Chrome Hearts  Rick Owens,9,$2300,$2070
3720926,Chrome Hearts,os,$250,-
7251820,Chrome Hearts  Rolex,36,$12000,-
2133844,Chrome Hearts,34,$181,-
4879540,Chrome Hearts,m,$330,-
6820070,Chrome Hearts,os,$230,-
6383640,Chrome Hearts,os,$450,$300
3789938,Chrome Hearts,os,$1200,-
6207955,Chrome Hearts,os,$160,-
1950610,Chrome Hearts  OffWhite,m,$850,$619
3809102,Chrome Hearts,os,$448,-
6816763,Chrome Hearts,os,$145,-
6843268,Chrome Hearts,os,$450,$405
6941221,Chrome Hearts,os,$300,$218
