product_id, brand, desc, size, original_price, new_price, price_change
2994272,Rick Owens  Rick Owens Drkshdw, Cargo Pants,32,$650,-,
1190029,Rick Owens, RO Runners,10.5,$250,$162,35.2%
3341649,Rick Owens, Slab Denim,32,$75,-,
4282865,Rick Owens,SS15 Pearl Cargo Jacket,m,$750,-,
1745591,Rick Owens  Rick Owens Drkshdw, Ramones,10.5,$250,-,
3111586,Rick Owens, Cargo Sandals,10,$450,-,
3692307,Rick Owens,FW06 Dustulator Pigskin Dunks,9,$1380,-,
235457,Rick Owens,CHROME HEARTS GEOS,8.5,$5000,$3645,27.1%
1242869,Rick Owens, F/W15 Sphinx Hooded Parka Runway Piece 48 L,l,$950,-,
1450745,Adidas  Rick Owens,LAST DROP Adidas  Runner,11,$800,$342,57.25%
585435,Rick Owens, DRKSHDW Vegan Gomma Sneakers,11,$390,-,
631864,Adidas  Rick Owens, x Adidas Tech Runners Black White,10,$320,-,
4733182,Eastpak  Rick Owens  Rick Owens Drkshdw, DRKSHDW EASTPAK BACKPACK IN GREEN,os,$400,-,
359049,Rick Owens,Hooded Shearling FW14 "Moody",l,$3500,$1504,57.03%
639538,Rick Owens, Runners,9,$360,$291,19.17%
4085958,Rick Owens  Rick Owens Drkshdw, Aircuts Drkshdw,32,$550,$441,19.82%
1782724,Rick Owens,Drkshdw Gimp hoodie,l,$360,$234,35.0%
7211784,Rick Owens,FW17 Glitter Cargo Jogger Sweatpants,30,$700,-,
1638565,Rick Owens,Rare  diagonal-zip Suede boots,10,$524,-,
7165463,Rick Owens  Rick Owens Drkshdw, DRKSHDW Waxed Creatch Cargos,30,$650,-,
5576490,Chrome Hearts  Rick Owens,CHROME HEARTS X  MILK BLACK DUNKS,9,$5500,-,
5817405,Rick Owens, mainline hiking boots size 44,11,$1300,-,
618335,Rick Owens,SS11 Turbo Flight bomber jacket,s,$720,$648,10.0%
5614947,Adidas  Rick Owens,Sandal RO CLOG,10,$350,-,
7304091,Rick Owens,Ramones High Top Mesh,11,$240,-,
2745056,Rick Owens,Ramones in very rare leather,9,$850,$765,10.0%
6842819,Rick Owens,Crepe Glitter Creeper Boots,10,$800,-,
8055615,Rick Owens,drkshdw Memphis pants,30,$580,-,
4494760,Rick Owens,FW17 GLITTER Wooden Stacked Sole Boots,11,$2300,$1863,19.0%
1645199,Rick Owens, Geobasket,12,$500,$364,27.2%
719307,Rick Owens,Black Cargo Sandals,9,$500,$450,10.0%
1244532,Rick Owens, F/W 2016 Mastodon Leather Ramones,9,$800,$720,10.0%
4169746,Rick Owens, Ankle Sock Runner,10,$203,-,
1681472,Rick Owens,Mohair / Silk Crewneck Knit,m,$375,-,
401223,Rick Owens,AW06 men heels,9,$2100,$1890,10.0%
3785921,Adidas  Rick Owens, Adidas Runner,11.5,$200,$180,10.0%
3513512,Rick Owens, Ramones,12.5,$600,-,
2292466,Adidas  Rick Owens, Mastodon Pro Model,9,$350,$315,10.0%
8237374,Rick Owens,SS09 Strutter Mohawk Dunks,10,$3650,-,
1604306,Rick Owens,SS16 Corduroy Dark Dust Cargo Pod Shorts,30,$395,-,
4632437,Rick Owens, Cargo Sandals,8,$400,$360,10.0%
907708,Rick Owens,AW2012 Mainline Calf Leather Laceless Ramones Boot,10,$400,-,
819090,Rick Owens,SUICIDE SILK SCARF BLACK AND WHITE RARE,os,$400,-,
2773751,Rick Owens  Rick Owens Drkshdw,SS15 FAUN CREATCH CARGO DARK DUST,30,$700,$567,19.0%
64375,Rick Owens, x adidas,10.5,$450,-,
323650,Rick Owens,Extremely Rare Alligator Jacke,m,$27000,-,
2728475,Rick Owens  Rick Owens Drkshdw, Dirty Wash Denim,28,$80,-,
517445,Rick Owens,Bomber O.D.B Hand-embroidered,s,$10000,$5904,40.96%
8494307,Rick Owens,Classic  OG Milk Dunks,9.5,$950,$855,10.0%
1284507,Rick Owens,Ramones,10.5,$450,-,
544633,Rick Owens, Mainline Brown Suede Ramones,12,$435,$315,27.59%
2430134,Rick Owens, Unstable Shirt,m,$81,-,
1208719,Rick Owens,F/W 2010-2011 "Gleam" Down-filled Blistered Lamb Leather Vest SZ L FINAL PRICE,l,$1700,$1239,27.12%
8329564,Rick Owens  Rick Owens Drkshdw,🔥60% OFF🔥[SALE]  Wool Silk Black Slim fit Trousers Pants,30,$385,-,
2188032,Rick Owens, x chrome hearts low tungue ver super rare,10,$7100,$5175,27.11%
5898764,Rick Owens,Off White Leather Ramones,13,$590,-,
364557,Rick Owens,AW07 exploder black cargo trousers,30,$1550,$524,66.19%
3309703,Rick Owens, Cargo Pants ( Grey ),32,$600,-,
3692298,Rick Owens,Short Tongue Geos,11,$400,$291,27.25%
1020964,Rick Owens, Limo FW/11 Mainline Hoodie ONESIZE,m,$299,$269,10.03%
1253240,Rick Owens,SS14 Geobasket Reverse Leather,8.5,$550,$291,47.09%
1964063,Rick Owens,Creatch Cargo,34,$500,-,
4241738,Rick Owens,Hooded Black Fur Shearling Coat,m,$2000,$1062,46.9%
6637947,Rick Owens,Geobasket,10,$350,-,
1242509,Rick Owens  Rick Owens Drkshdw,RARE COATED EXPLODER PARKA,m,$1134,-,
7519975,Rick Owens,Thick Knit Wool Sweater,m,$360,-,
1804640,Rick Owens, Runners,10.5,$250,-,
833053,Rick Owens,Women's Size 6.5  Milk Runner Sneaker,6.5,$350,$315,10.0%
2851754,Rick Owens,Mainline Leather Ramones,9,$595,-,
3211212,Rick Owens,Sewn Pattern DRKSHDW RO High Tops,10,$243,-,
5548842,Chrome Hearts  Rick Owens,Chrome Hearts x  Black & White Cargobaskets,9,$2300,$2070,10.0%
2679040,Rick Owens  Rick Owens Drkshdw,Papaya Ramones,10,$450,$405,10.0%
6995936,Rick Owens  Rick Owens Drkshdw,Creatch Cargo Cotton Pants 34-36,34,$600,$540,10.0%
3193645,Rick Owens, Gimp Hoodie,xl,$399,$359,10.03%
1782792,Rick Owens  Rick Owens Drkshdw,Dark shadow Runners,9,$200,-,
5263786,Rick Owens, DRKSHDW Ramones,8.5,$450,-,
4545014,Rick Owens,Short Tongue Dunks Size 42,9,$442,$357,19.23%
8237298,Rick Owens,SS08 Creatch Dunks New,8,$5850,-,
5103296,Rick Owens, CARGO from 2008,32,$650,-,
6492428,Rick Owens,Dunk,10,$4000,-,
1337235,Adidas  Rick Owens,Tech Runners,9,$400,$324,19.0%
7136560,Rick Owens,Mastadon Cargo Joggers,30,$450,-,
7479891,Rick Owens,Classic  OG Milk Black Dunks,9,$1300,-,
1485124,Rick Owens, Scarpa SS10 RELEASE sneakers dunks,11,$3600,-,
5763605,Rick Owens,SS08 Creatch Dunks,8,$2200,-,
3472978,Adidas  Rick Owens,Runner,10.5,$250,$202,19.2%
2135598,Rick Owens,Plinth Pony Skin Hiker boots,11,$1800,$1620,10.0%
7310301,Rick Owens, Gimp Hoodie,l,$290,$234,19.31%
4837633,Rick Owens,Glitter Cargo Joggers,32,$725,-,
4483068,Rick Owens,AW10 "Gleam" turtleneck sweater,s,$300,-,
5216068,Rick Owens,SS17 Cyclops Black Boxer Shorts,30,$220,-,
2282539,Rick Owens,Creatch Cargos,30,$950,-,
6743237,Rick Owens  Rick Owens Drkshdw,F/W 2018 "Sisyphus" Clear Sole Tractor Boots,8.5,$1300,-,
1215097,Adidas  Rick Owens,adidas by  RO Runner,10.5,$218,-,
3029477,Rick Owens,Rick Cargo Vest Fits XS-M,xs,$650,$526,19.08%
8421328,Rick Owens,**Excellent Condition** Black Dunks,9,$2000,$1312,34.4%
5019494,Rick Owens, milk Ramones - Text Me,10,$270,-,
4034001,Rick Owens, Cargo Shorts,28,$400,$360,10.0%
358337,Rick Owens,F/W 15 Sphinx Black Turtle Nec,l,$409,$331,19.07%
188974,Rick Owens,Quilted Leather Card Case, NWT,os,$220,-,
2879806,Adidas  Rick Owens,adidas x  Mastodon Pro US10/UK9.5,10,$650,-,
8001490,Rick Owens, Canvas DRKSHDW Ramones,11,$450,$405,10.0%
3528314,Rick Owens, Adidas runner 1st collab 2013 BNIB simto raf drkshdw geo ramone dunk,9,$650,$382,41.23%
7088459,Rick Owens,Creatch Cargo Pants.,30,$585,-,
3876010,Rick Owens,Black Blistered Leather Crepe Sole Combat Boots,9.5,$750,$320,57.33%
7871362,Rick Owens, Cargo Pants,31,$550,-,
4044282,Adidas  Rick Owens  Rick Owens Drkshdw,Adidas by ,8,$220,$207,5.91%
3007798,Rick Owens,SS16 Giacca Denim - Sliced Worker Jacket,m,$460,$414,10.0%
6933674,Rick Owens,Cashmere/Silk Detroit Cut Trousers,30,$450,-,
3900255,Rick Owens,Ramones Leather,10.5,$500,$405,19.0%
4670855,Rick Owens,Black Leather "Vicious Granola" Fur Slides Shoes,10,$432,$388,10.19%
4694944,Rick Owens,Dunks,9.5,$1300,$1000,23.08%
3978657,Rick Owens  Rick Owens Drkshdw, Cargo Sandals,8.5,$600,$540,10.0%
7047861,Rick Owens  Rick Owens Drkshdw,F/W 2014 “Moody” Durag,os,$300,-,
7518064,Rick Owens,Anfibio Combat Boots,10,$1000,-,
3502014,Rick Owens  Rick Owens Drkshdw,Scarpe Scuba Socks - Black,10,$675,-,
5097396,Chrome Hearts  Rick Owens,🔥🔥 CHROME HEARTS RAMONES 🔥🔥,8,$6500,-,
2556641,Adidas  Rick Owens,Adidas x  Walrus Cream Runners Low,11,$560,$329,41.25%
1513900,Rick Owens, Scarpa SS10 RELEASE sneakers size44 dunks,11,$4000,-,
107173,Rick Owens,Black Memphis Patchwork Jeans,34,$600,-,
6761312,Rick Owens,Silver Metallic Ravewear,30,$500,-,
6315197,Rick Owens  Rick Owens Drkshdw,NEW $3300  Shearling Worker Jacket Extra Large XL DRKSHDW Leather Lamb,xl,$988,$471,52.33%
2208937,Rick Owens,AW09 Berger Leather Jacket,m,$675,-,
1630771,Rick Owens,oversized- cotton t-shirt black,m,$291,-,
6649488,Rick Owens,Combat Boots Side Zip Black Lamb Leather Vintage SS07,9.5,$445,-,
1836871,Rick Owens,SS15 Geometirc Black & Silver 3M Parka Jacket,s,$675,$607,10.07%
3314423,Adidas  Rick Owens,Adidas  Runner Green Sz 9,9,$150,-,
334188,Rick Owens,Geobaskets blistered suede,8,$520,-,
2947730,Rick Owens,Washed out frayed hems denim,30,$162,-,
3477292,Rick Owens,Leather High Top Ramones,10,$800,-,
523833,Rick Owens,NWT MA-1 FLIGHT BOMBER GREY DOWN JACKET 50IT,m,$1350,-,
3735623,Adidas  Rick Owens,RO Tech Runner,8,$120,-,
2795180,Adidas  Rick Owens, Adidas Springblade,11.5,$780,$216,72.31%
7128715,Rick Owens,FW07 Exploder Cargo Pants,29,$1200,-,
117602,Rick Owens,Striped cashemere sweater,m,$175,$145,17.14%
8186682,Rick Owens, FW14 MOODY CASHMERE DOORAG,os,$450,$294,34.67%
639317,Rick Owens,Cargobaskets,8,$800,$380,52.5%
8511664,Rick Owens  Rick Owens Drkshdw,Dust Grey Creach cargos Size XS,29,$560,-,
150067,Rick Owens,fw10 Black Wool XS Pajama Knife Drop Crotch Pant,28,$585,$425,27.35%
7301288,Chrome Hearts  Rick Owens, X Chrome Hearts Shearling Front Zip Mohawk Military Boots,9,$2650,-,
6894533,Rick Owens,RO GEOBASKET in textured leather,10,$387,-,
2652351,Rick Owens,Mainline Milk Ramones,8.5,$850,$688,19.06%
6356994,Rick Owens,Leather Ramones,8.5,$300,-,
7261586,Rick Owens,Blistered Reverse Leather Anfibio Boots,11,$900,$531,41.0%
2593001,Rick Owens,SS16  Flight Bomber XI,m,$692,$452,34.68%
3941761,Adidas  Rick Owens, adidas runner,11.5,$210,-,
197123,Rick Owens,AW06 "Dustulator" Combo bomber jacket,s,$1050,$450,57.14%
2246553,Rick Owens,Mustard Geobaskets,10,$800,$648,19.0%
4095165,Rick Owens, Geobaskets White And Navy Blue,11.5,$700,$459,34.43%
8416261,Rick Owens, ramones,11,$400,$360,10.0%
813837,Rick Owens,Drkshdw turtleneck,s,$105,-,
6684178,Rick Owens, Anfibio Combat Boots,9.5,$700,-,
1979727,Rick Owens,Runner,11.5,$280,$252,10.0%
2276489,Rick Owens,Drop Crotch Suiting,29,$275,$250,9.09%
2394932,Rick Owens,F/W 17 GLITTER BOOK,os,$40,-,
8424929,Adidas  Rick Owens,Ankle sock boot ***last drop***,10.5,$240,$194,19.17%
5216401,Rick Owens,FW16 Mastodon Jogging Cargos,29,$750,-,
3609022,Rick Owens, Brand New Mastodon Runway Leather Jacket（Lowest Price),m,$3200,$1822,43.06%
8207504,Rick Owens,Creatch Cargos,32,$600,$540,10.0%
1873021,Rick Owens,AW13 Plinth pony hair boots,8,$750,-,
1808799,Rick Owens  Rick Owens Drkshdw, Ro Runner,8.5,$265,-,
4974420,Rick Owens,Combat Boots,9,$540,-,
3188649,Rick Owens,Rick Owen Drop Crotch Pants,31,$380,$324,14.74%
7500175,Adidas  Rick Owens,Rick Owen x Adidas Runners (Earth Green),10,$350,$133,62.0%
4510132,Rick Owens, jumpsuit,s,$291,$261,10.31%
2849011,Rick Owens, Geobasket 2013,8,$300,$270,10.0%
8173354,Rick Owens, SS17 Walrus Black Flat Tailored Cargo Pants,32,$724,$526,27.35%
7276813,Rick Owens,FW14 Moody Mask Ram Horn,os,$550,-,
6078483,Rick Owens,F/W17  DRKSHDW Hooded Short Bomber Jacket in Black,m,$1300,$852,34.46%
3285336,Rick Owens,Black & Off-White Geobasket High-Top Sneakers,11.5,$500,$449,10.2%
8228323,Rick Owens,*Steal* Mainline  Ramone Sneaker Boots,11,$700,-,
6600529,Rick Owens  Rick Owens Drkshdw, Memphis,32,$500,$450,10.0%
326191,Rick Owens,XY sneakers xx,6,$750,$285,62.0%
1811677,Rick Owens, runner,11,$350,-,
4379896,Rick Owens,RU17S9552-CY / Megacargo Bodybag,32,$972,-,
7853014,Rick Owens  Rick Owens Drkshdw, Cargo Pants,38,$600,-,
3964300,Rick Owens,Rare FW14 Geobasket,10.5,$486,-,
5174915,Rick Owens, DRKSHDW Hooded Long sleeve,m,$350,$162,53.71%
3716895,Rick Owens, SS17 WALRUS Full LEATHER BACKPACK,os,$1095,$985,10.05%
7621699,Rick Owens,Dustulator Wrap Jacket,m,$1875,$1366,27.15%
4585336,Rick Owens, x adidas vicious runner,11,$300,$243,19.0%
1720400,Rick Owens,Rick Owen Runners,8.5,$280,-,
1112525,Rick Owens,Leather Boost,9.5,$490,$300,38.78%
1570034,Rick Owens,30 & 36 / FW15 Sphinx Cut Black Wax Denim,30,$200,$180,10.0%
4402842,Rick Owens, Special Crossover - Style.com 10th Anniversary,m,$100,$81,19.0%
1700721,Rick Owens, X Chrome Hearts Geobasket,7,$5000,-,
7570330,Rick Owens,Wool Worker Jacket,m,$350,$315,10.0%
3249567,Rick Owens,Blistered Lamb Exploder Hooded Bomber SZ L,l,$2000,$1458,27.1%
8458977,Rick Owens, Black White Dunks,9,$3500,-,
7257020,Rick Owens, Blistered Leather Dunks,10,$1499,$982,34.49%
3344123,Rick Owens, White Runner,11,$200,-,
7743469,Asap Rocky  OffWhite  Rick Owens,🔥ASAP iLLZ Disco Inferno Flame Beanie 🔥,os,$75,$60,20.0%
3604554,Rick Owens,AW12 leather MA-1 jacket,l,$1080,-,
5016566,Rick Owens  Rick Owens Drkshdw,Jason Hoodie,s,$250,-,
3560928,Rick Owens,RO Plinth Leather Shearling,m,$2468,$772,68.72%
4094990,Rick Owens, Light Blue Pony Fur Sandals,11,$600,$230,61.67%
7956377,Rick Owens, Creatch Cargo Pants,33,$600,$486,19.0%
7023473,Eastpak  Rick Owens  Rick Owens Drkshdw,Pearl Backpack Lanyard + Coin Purse,os,$350,-,
6753708,Rick Owens,Leather Ramones,10,$250,$202,19.2%
1960600,Rick Owens,Geobasket,13,$750,-,
941839,Rick Owens,DRKSHDW socks FW2016,6,$660,-,
15863,Rick Owens,Stooge blistered,l,$1500,$1215,19.0%
6361617,Rick Owens,*GRAIL*  (Mainline) Denim Jogger Cargo Pants FW16 Mastodon,32,$1150,-,
3513267,Adidas  Rick Owens,Mastodon Pro,11,$480,$349,27.29%
1724544,Rick Owens,S/S 14 Milk Biker,m,$270,$218,19.26%
2341549,Rick Owens,Geobaskets,9,$666,$539,19.07%
8211797,Rick Owens  Rick Owens Drkshdw,Creatch Cargo Pants (F/W14),32,$599,-,
6035453,Rick Owens,"Exploder" Cashmere/Silk Blend Longsleeve,l,$200,-,
8209001,Rick Owens,Coat,l,$600,-,
2092329,Rick Owens,Mainline Ramones,10.5,$500,$450,10.0%
7831498,Rick Owens,FINAL DROP! FW18 Cargo Waistcoat Bag,os,$800,$648,19.0%
5484737,Rick Owens,MOST RARE incredible art piece ever by RO,os,$2350,$2115,10.0%
7563932,Rick Owens  Rick Owens Drkshdw,LAST DROP Shearling Ramones,9,$1000,$429,57.1%
8157918,Rick Owens  Rick Owens Drkshdw,Fleece Gimp Hoodie Black,s,$299,$217,27.42%
4242125,Rick Owens,FW13 'Plinth' Runway Petrol Lamb Leather Jacket,l,$900,-,
513798,Rick Owens,Good Year Flex Beige / Sand Boot,11,$840,$756,10.0%
4933945,Rick Owens, DUNKS,8,$850,-,
7495279,Rick Owens  Rick Owens Drkshdw,Yellow Canvas Ramones,9,$390,-,
619232,Rick Owens,Limited edition  Magazine, 20. GQ,os,$70,$56,20.0%
6885125,Rick Owens,Exploder Parka,m,$850,$765,10.0%
4585304,Rick Owens, tech runner,9,$225,$181,19.56%
5661551,Rick Owens,Adidas x  Mastodon Pro,8,$320,$250,21.88%
1750140,Rick Owens,Cyclops Socks boots Size 43 Black No Toe cap E16,10,$780,$631,19.1%
8358480,Rick Owens, Geobasketball sneakers,9.5,$275,-,
4670822,Rick Owens,Black Leather "Vicious Granola" Fur Slides Shoes,9,$432,$388,10.19%
2592727,Rick Owens,Geobasket,11,$396,-,
3346436,Rick Owens,,11,$400,$324,19.0%
4034860,Adidas  Rick Owens,Tech Runner,10.5,$280,-,
607196,Adidas  Rick Owens,ss16 tech runners,9.5,$500,$294,41.2%
408689,Rick Owens,Old top xx,m,$650,$580,10.77%
426676,Rick Owens,Leather Biker Vest,s,$460,-,
3277095,Rick Owens  Rick Owens Drkshdw, 15 Runway,m,$450,-,
2399466,Rick Owens  Rick Owens Drkshdw, Pod Shorts Brand New,32,$350,$283,19.14%
1374372,Rick Owens,Last price drop * Mohawk front zip boots,11.5,$607,$491,19.11%
122737,Adidas  Rick Owens, x Adidas rocky A$ A,10,$350,-,
8429421,Rick Owens  Rick Owens Drkshdw, Air Cut White,30,$890,$840,5.62%
4938455,Rick Owens,Fishtail Parka,l,$1520,$725,52.3%
779712,Rick Owens,2007 Wagner shirt,m,$270,-,
1657611,Rick Owens,Low Top Ramones Mainline,10.5,$450,$405,10.0%
1007166,Adidas  Rick Owens, ADIDAS MASTODON PRO MODEL SNEAKER,10.5,$800,-,
6285015,Adidas  Rick Owens,OG FW14 Tech Runner,9.5,$320,-,
8238863,Rick Owens, Tractor Dunk Boots,11,$900,$810,10.0%
8465269,Rick Owens  Rick Owens Drkshdw,RARE Waxed Hood Combo bomber,l,$750,$650,13.33%
6331801,Rick Owens, Runway Belt Bag,os,$743,$486,34.59%
3738057,Rick Owens,METAL SPRINGBLADE,9.5,$250,-,
3998159,Rick Owens,Milk Gimp Hoodie in Thick Cotton,l,$435,$391,10.11%
7166308,Rick Owens  Rick Owens Drkshdw,Rick Owen Drjshdw Prisoner Pant( Final Drop),30,$291,-,
8366737,Rick Owens, Ramones,10,$900,-,
5827535,Rick Owens  Rick Owens Drkshdw, 🍌 Cut Jeans from Drkshdw Collection *EXTREMELY RARE and versatile,28,$500,-,
467111,Rick Owens, geobasket-calf leat,11,$600,-,
